size,No Tail
0,0
500,2
1000,1
1500,2
2000,5
2500,7
3000,10
3500,14
4000,19
4500,23
5000,32
5500,35
6000,44
6500,47
7000,55
7500,69
8000,74
8500,83
9000,94
9500,106
10000,128
10500,131
11000,144
11500,161
12000,181
12500,190
13000,232
13500,261
14000,245
14500,261
size,With Tail
0,0
500,0
1000,0
1500,0
2000,0
2500,0
3000,0
3500,0
4000,0
4500,0
5000,0
5500,0
6000,0
6500,0
7000,0
7500,0
8000,0
8500,0
9000,0
9500,0
10000,0
10500,0
11000,0
11500,0
12000,0
12500,0
13000,0
13500,0
14000,0
14500,0
size,No Tail
0,0
500,1
1000,1
1500,3
2000,5
2500,8
3000,12
3500,15
4000,20
4500,26
5000,30
5500,36
6000,42
6500,48
7000,56
7500,64
8000,74
8500,84
9000,98
9500,108
10000,119
10500,134
11000,156
11500,163
12000,176
12500,191
13000,209
13500,224
14000,241
14500,259
size,With Tail
0,0
500,0
1000,0
1500,0
2000,0
2500,0
3000,0
3500,0
4000,0
4500,0
5000,1
5500,1
6000,0
6500,0
7000,0
7500,0
8000,0
8500,0
9000,0
9500,0
10000,0
10500,0
11000,0
11500,0
12000,0
12500,0
13000,0
13500,0
14000,1
14500,0
size,No Tail
0,0
500,1
1000,1
1500,2
2000,4
2500,8
3000,12
3500,14
4000,18
4500,22
5000,27
5500,33
6000,58
6500,55
7000,60
7500,62
8000,73
8500,82
9000,94
9500,105
10000,117
10500,130
11000,142
11500,158
12000,175
12500,187
13000,200
13500,216
14000,243
14500,255
size,With Tail
0,0
500,0
1000,0
1500,0
2000,0
2500,0
3000,0
3500,0
4000,0
4500,0
5000,0
5500,0
6000,0
6500,0
7000,0
7500,0
8000,0
8500,0
9000,0
9500,0
10000,0
10500,0
11000,0
11500,0
12000,0
12500,0
13000,0
13500,0
14000,0
14500,0
