size,binary heap,linear
150000,88,88
180000,118,118
210000,143,148
240000,175,178
270000,207,208
300000,233,238
330000,267,268
360000,303,298
390000,337,328
420000,372,358
450000,410,388
480000,443,418
510000,483,448
540000,518,478
570000,552,508
600000,596,538
630000,641,568
660000,692,598
690000,732,628
720000,764,658
750000,812,688
780000,874,718
810000,895,748
840000,968,778
870000,984,808
900000,1028,838
930000,1102,868
960000,1135,898
990000,1159,928
1020000,1211,958
1050000,1378,988
1080000,1342,1018
1110000,1365,1048
1140000,1435,1078
1170000,1484,1108
1200000,1521,1138
1230000,1557,1168
1260000,1633,1198
1290000,1659,1228
1320000,1720,1258
1350000,1760,1288
1380000,1797,1318
1410000,1857,1348
1440000,1909,1378
1470000,1974,1408
